Country,All,M,F,Sex gap,Healthcare_Index
Singapore,86.7,84.0,89.5,5.5,71.78
Japan,85.2,82.3,88.2,5.9,80.18
Canada,84.2,81.9,86.6,4.7,68.63
Iceland,84.0,81.8,86.3,4.5,67.9
Switzerland,83.9,82.0,85.8,3.8,70.84
Malta,83.6,81.5,85.8,4.3,52.78
Australia,83.5,81.3,85.7,4.4,73.13
Luxembourg,83.4,80.9,85.9,5.0,75.15
Israel,83.1,81.1,85.1,4.0,73.4
Italy,83.0,80.7,85.5,4.8,64.86
Spain,83.0,80.3,85.8,5.5,77.3
New Zealand,82.9,81.2,84.8,3.6,68.14
Norway,82.9,81.3,84.6,3.3,75.77
Sweden,82.9,81.2,84.7,3.5,68.58
Austria,82.7,80.1,85.4,5.3,78.54
France,82.6,79.8,85.5,5.7,77.25
Belgium,82.3,79.7,85.0,5.3,75.76
Finland,82.2,79.3,85.2,5.9,77.45
Slovenia,82.2,79.4,85.2,5.8,66.3
United Kingdom,82.2,80.1,84.4,4.3,72.5
Denmark,82.1,80.2,84.1,3.9,78.27
Puerto Rico,82.1,78.9,85.5,6.6,59.12
Ireland,82.0,80.3,83.9,3.6,51.53
Germany,81.9,79.6,84.4,4.8,71.65
Greece,81.9,79.4,84.6,5.2,58.54
Netherlands,81.9,80.3,83.5,3.2,80.6
Portugal,81.9,78.8,85.2,6.4,72.0
Taiwan,81.6,78.6,84.7,6.1,86.99
United States,80.9,78.7,83.1,4.4,67.46
Chile,80.3,77.3,83.3,6.0,63.7
Costa Rica,80.3,77.7,82.9,5.2,65.09
Qatar,80.3,78.2,82.4,4.2,73.47
Cyprus,80.2,77.4,83.1,5.7,56.48
Albania,79.9,77.3,82.8,5.5,48.21
United Arab Emirates,79.9,78.6,81.4,2.8,70.66
Kuwait,79.6,78.1,81.1,3.0,58.37
Lebanon,79.2,77.8,80.7,2.9,63.72
Panama,79.2,76.4,82.2,5.8,61.2
Uruguay,78.9,75.8,82.1,6.3,68.5
Argentina,78.8,75.8,82.0,6.2,67.92
China,78.7,76.0,81.7,5.7,68.73
Estonia,78.4,73.8,83.2,9.4,74.8
Montenegro,78.2,75.8,80.7,4.9,43.85
Thailand,78.2,75.2,81.3,6.1,77.29
Algeria,77.9,77.2,78.7,1.5,54.52
Croatia,77.7,74.6,81.0,6.4,64.75
Oman,77.4,75.5,79.4,3.9,63.33
North Macedonia,77.3,75.3,79.6,4.3,55.26
Tunisia,77.3,75.7,79.1,3.4,57.18
Saudi Arabia,77.2,75.6,78.8,3.2,61.95
Slovakia,77.2,73.7,81.0,7.3,58.24
Romania,76.9,73.4,80.5,7.1,56.83
Sri Lanka,76.8,73.7,79.9,6.2,71.36
Armenia,76.7,73.4,80.1,6.7,59.97
Poland,76.7,72.8,80.9,8.1,58.02
Turkey,76.7,74.4,79.2,4.8,71.31
Malaysia,76.6,75.0,78.4,3.4,70.75
Jordan,76.5,75.0,78.1,3.1,65.51
Latvia,76.4,72.0,81.0,9.0,62.86
Brazil,76.3,72.6,80.1,7.5,59.16
Bulgaria,76.1,72.9,79.4,6.5,58.17
Lithuania,76.1,70.8,81.7,10.9,74.74
Vietnam,76.1,73.5,78.9,5.4,61.88
Hungary,76.0,72.9,79.3,6.4,54.09
Azerbaijan,75.9,73.5,78.6,5.1,49.07
Iran,75.6,74.3,77.1,2.8,52.74
Serbia,75.3,72.7,78.1,5.4,52.3
Bangladesh,75.2,73.1,77.5,4.4,41.74
Egypt,75.0,73.8,76.2,2.4,47.47
Colombia,74.9,71.3,78.7,7.4,68.92
Ecuador,74.9,69.7,80.4,10.7,77.99
Syria,74.8,73.4,76.4,3.0,35.19
Belarus,74.7,69.8,80.0,10.2,49.32
Mexico,74.6,71.6,77.7,6.1,72.69
Venezuela,74.5,71.5,77.7,6.2,39.6
Morocco,74.2,72.5,76.0,3.5,47.03
Iraq,73.7,71.9,75.7,3.8,46.29
Indonesia,73.6,71.3,76.0,4.7,61.18
Guatemala,73.5,71.5,75.6,4.1,67.21
Kazakhstan,73.3,69.0,77.9,8.9,60.7
Nepal,73.0,72.2,73.7,1.5,57.74
Georgia,72.8,68.7,77.2,8.5,56.4
Dominican Republic,72.6,71.0,74.3,3.3,58.43
Russia,72.3,67.4,77.4,10.0,61.65
South Africa,71.9,70.3,73.5,3.2,63.96
Cambodia,71.4,69.6,73.3,3.7,51.56
Philippines,70.8,67.3,74.5,7.2,66.79
Ukraine,70.5,65.4,75.8,10.4,55.82
Kenya,70.4,68.6,72.2,3.6,62.23
Pakistan,70.3,68.2,72.5,4.3,59.35
Ghana,70.1,68.4,71.8,3.4,56.98
Peru,68.9,65.4,72.7,7.3,56.74
India,68.2,66.5,70.1,3.6,65.51
Nigeria,62.2,60.4,64.2,3.8,49.05
